BSS00026	H3K27ac	FINAL_H3K27ac_BSS00026.sub_VS_FINAL_WCE_BSS00026.pval.signal.bedgraph.gz
BSS00026	H3K4me1	FINAL_H3K4me1_BSS00026.sub_VS_FINAL_WCE_BSS00026.pval.signal.bedgraph.gz
BSS00026	H3K4me2	FINAL_H3K4me2_BSS00026.sub_VS_FINAL_WCE_BSS00026.pval.signal.bedgraph.gz
BSS00026	H3K4me3	FINAL_H3K4me3_BSS00026.sub_VS_FINAL_WCE_BSS00026.pval.signal.bedgraph.gz
BSS00026	H3K9me3	FINAL_H3K9me3_BSS00026.sub_VS_FINAL_WCE_BSS00026.pval.signal.bedgraph.gz
BSS00026	RAD21	FINAL_RAD21_BSS00026.sub_VS_FINAL_WCE_BSS00026.pval.signal.bedgraph.gz
BSS00026	SMC3	FINAL_SMC3_BSS00026.sub_VS_FINAL_WCE_BSS00026.pval.signal.bedgraph.gz
BSS00027	EP300	FINAL_EP300_BSS00027.sub_VS_FINAL_WCE_BSS00027.pval.signal.bedgraph.gz
BSS00027	H3K27ac	FINAL_H3K27ac_BSS00027.sub_VS_FINAL_WCE_BSS00027.pval.signal.bedgraph.gz
BSS00028	CTCF	FINAL_CTCF_BSS00028.sub_VS_FINAL_WCE_BSS00028.pval.signal.bedgraph.gz
BSS00028	DNase-seq	FINAL_DNase-seq_BSS00028.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz
BSS00028	EP300	FINAL_EP300_BSS00028.sub_VS_FINAL_WCE_BSS00028.pval.signal.bedgraph.gz
BSS00028	H3K27ac	FINAL_H3K27ac_BSS00028.sub_VS_FINAL_WCE_BSS00028.pval.signal.bedgraph.gz
BSS00028	H3K4me1	FINAL_H3K4me1_BSS00028.sub_VS_FINAL_WCE_BSS00028.pval.signal.bedgraph.gz
BSS00028	H3K4me2	FINAL_H3K4me2_BSS00028.sub_VS_FINAL_WCE_BSS00028.pval.signal.bedgraph.gz
BSS00028	H3K4me3	FINAL_H3K4me3_BSS00028.sub_VS_FINAL_WCE_BSS00028.pval.signal.bedgraph.gz
BSS00028	H3K9me3	FINAL_H3K9me3_BSS00028.sub_VS_FINAL_WCE_BSS00028.pval.signal.bedgraph.gz
BSS00028	RAD21	FINAL_RAD21_BSS00028.sub_VS_FINAL_WCE_BSS00028.pval.signal.bedgraph.gz
BSS00028	SMC3	FINAL_SMC3_BSS00028.sub_VS_FINAL_WCE_BSS00028.pval.signal.bedgraph.gz
BSS00029	CTCF	FINAL_CTCF_BSS00029.sub_VS_FINAL_WCE_BSS00029.pval.signal.bedgraph.gz
BSS00029	DNase-seq	FINAL_DNase-seq_BSS00029.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz
BSS00029	EP300	FINAL_EP300_BSS00029.sub_VS_FINAL_WCE_BSS00029.pval.signal.bedgraph.gz
BSS00029	H3K27ac	FINAL_H3K27ac_BSS00029.sub_VS_FINAL_WCE_BSS00029.pval.signal.bedgraph.gz
BSS00029	H3K4me1	FINAL_H3K4me1_BSS00029.sub_VS_FINAL_WCE_BSS00029.pval.signal.bedgraph.gz
BSS00029	H3K4me2	FINAL_H3K4me2_BSS00029.sub_VS_FINAL_WCE_BSS00029.pval.signal.bedgraph.gz
BSS00029	H3K4me3	FINAL_H3K4me3_BSS00029.sub_VS_FINAL_WCE_BSS00029.pval.signal.bedgraph.gz
BSS00029	H3K9me3	FINAL_H3K9me3_BSS00029.sub_VS_FINAL_WCE_BSS00029.pval.signal.bedgraph.gz
BSS00029	RAD21	FINAL_RAD21_BSS00029.sub_VS_FINAL_WCE_BSS00029.pval.signal.bedgraph.gz
BSS00029	SMC3	FINAL_SMC3_BSS00029.sub_VS_FINAL_WCE_BSS00029.pval.signal.bedgraph.gz
BSS00030	ATAC-seq	FINAL_ATAC-seq_BSS00030.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz
BSS00030	CTCF	FINAL_CTCF_BSS00030.sub_VS_FINAL_WCE_BSS00030.pval.signal.bedgraph.gz
BSS00030	DNase-seq	FINAL_DNase-seq_BSS00030.sub_VS_Uniform_BKG_CONTROL_36_50000000.pval.signal.bedgraph.gz
BSS00030	EP300	FINAL_EP300_BSS00030.sub_VS_FINAL_WCE_BSS00030.pval.signal.bedgraph.gz
BSS00030	H3K27ac	FINAL_H3K27ac_BSS00030.sub_VS_FINAL_WCE_BSS00030.pval.signal.bedgraph.gz
BSS00030	H3K4me1	FINAL_H3K4me1_BSS00030.sub_VS_FINAL_WCE_BSS00030.pval.signal.bedgraph.gz
BSS00030	H3K4me2	FINAL_H3K4me2_BSS00030.sub_VS_FINAL_WCE_BSS00030.pval.signal.bedgraph.gz
BSS00030	H3K4me3	FINAL_H3K4me3_BSS00030.sub_VS_FINAL_WCE_BSS00030.pval.signal.bedgraph.gz
BSS00030	H3K9me3	FINAL_H3K9me3_BSS00030.sub_VS_FINAL_WCE_BSS00030.pval.signal.bedgraph.gz
BSS00030	RAD21	FINAL_RAD21_BSS00030.sub_VS_FINAL_WCE_BSS00030.pval.signal.bedgraph.gz
BSS00030	SMC3	FINAL_SMC3_BSS00030.sub_VS_FINAL_WCE_BSS00030.pval.signal.bedgraph.gz
